Current Team,Jersey Number,Pos,DOB,Hometown,Name,Nickname,Previous teams,College,Intl
Gotham FC,21,Defense,"Jan 6, 1998","Kirkland, WA",Sam Hiatt,,Reign FC,Stanford and Boston College,
Gotham FC,16,Midfield,"May 14, 1995","Cincinnati, OH",Rose Lavelle,,"Manchester City, Reign FC, Boston Breakers, Washington Spirit",Wisconsin,USA
Gotham FC,77,Defense,"Mar 13, 1995","Aguilas, Spain",Maitane Lopez,Maitane,"Collerense, Levante, Real Sociedad, Atletico Madrid",None,Spain
Gotham FC,14,Midfield/Defense,"Apr 22, 1998","Birmingham, AL",Nealy Martin,,Racing Louisville,Alabama,
Gotham FC,38,Goalkeeper,"Apr 28, 1995","Cave Creek, AZ",Cassie Miller,,"PSV, Apollon, Chicago Red Stars, KC Current",Florida State,
Gotham FC,32,Defense/Midfield,"Nov 28, 2000","Huntington Beach, CA",Jenna Nighswonger,,None,Florida State,USA
Gotham FC,5,Defense,"Aug 4, 1988","Fayetteville, GA",Kelley O'Hara,,"Boston Breakers, Sky Blue, Utah Royals, Washington Spirit",Stanford,USA
Gotham FC,18,Midfield,"Feb 25, 1999","Norman, OK",Yazmeen Ryan,,Portland Thorns,Texas Christian,
Gotham FC,17,Midfield,"Jan 13, 1999","Brentwood, CA",Delanie Sheehan,,None,UCLA,
Gotham FC,6,Defense,"Nov 25, 1993","Marietta, GA",Emily Sonnett,,"Washington Spirit, Portland Thorns, Kopparsberg/Goteborg, Reign FC, Sydney FC",Virginia,USA
Gotham FC,28,Forward,"Feb 29, 1992","Melbourne, FL",Katie Stengel,,"Bayern Munich, Washington Spirit, Western Sydney Wanderers, Boston Breakers, Newcastle Jets, Utah Royals, Canberra United, Houston Dash, Valerenga, Liverpool",Wake Forest,
Gotham FC,13,Forward,"Dec 11, 1997","Snellville, GA",Ella Stevens,,Chicago Red Stars,Duke,
Gotham FC,8,Midfield,"Apr 23, 1999","Frisco, TX",Taryn Torres,,None,Virginia,
Gotham FC,10,Forward,"May 21, 1993","Fresno, CA",Lynn Williams,,"Western New York, NC Courage, Western Sydney Wanderers, Melbourne Victory",Pepperdine,USA
Gotham FC,3,Defense,"June 16, 2002","Castro, Parana, Brazil",Bruninha ,,"Internacional, Santos",None,Brazil
Orlando Pride,25,Defense/Midfield,,,Kerry Abello,,None,Penn State,
Orlando Pride,29,Forward,,,Amanda Allen,,None,None,
Orlando Pride,22,Forward,,,Barbra Banda,,,None,Zambia
Orlando Pride,20,Forward,,,Julie Doyle,,None,Santa Clara,
Orlando Pride,16,Midfield,,,Morgan Gautrat,,Chicago Red Stars,Virginia,USA
Orlando Pride,13,Defense,,,Celia Jimenez-Delgado,Celia,Reign FC,Alabama,Spain
Orlando Pride,7,Forward,"Oct 24, 1992","Buenos Aires, Argentina",Mariana Larroquette,,"River Plate, UAI Urquiza, KC Current, Sporting CP, Leon",None,Argentina
Orlando Pride,12,Midfield,,,Carrie Lawrence,,None,Central Florida,
Orlando Pride,30,Midfield,,,Ally Lemos,,None (rookie),UCLA,
Orlando Pride,32,Defense,,,Brianna Martinez,,None,Notre Dame,
Orlando Pride,2,Defense,"Feb 22, 1996","Overland Park, KS",Haley McCutcheon,Haley Hanson,"Houston Dash, Melbourne Victory",Nebraska,USA
Orlando Pride,1,Goalkeeper,"Mar 30, 1995","Oldham, England",Anna Moorhouse,,"Durham, Doncaster Rovers Belles, Arsenal, West Ham, Bordeaux",None,
Orlando Pride,6,Defense,"Jul 1, 1999","Boise, ID",Emily Sams,Emily Madril,BK Hacken,Florida State,
Orlando Pride,4,Defense,"June 18, 1991","Bahia, Brazil",Rafaelle Souza,Rafaelle,"Houston Dash, America Miniero, Changchun Zhuoyue, Palmeiras, Arsenal",Ole Miss,Brazil
Orlando Pride,3,Defense,"Mar 18, 1992","Endicott, NY",Kylie Strom,,"Boston Breakers, Sparta Prague, Atletico Madrid",Boston,
Orlando Pride,11,Forward,,,Ally Watt,,,Texas A&M,
Orlando Pride,28,Forward,,,Summer Yates,,None,Washington,
Orlando Pride,8,Midfield,"May 2, 1993","Sao Bernardo do Campo, Sao Paulo, Brazil",Luana ,,"Centro Olimpico, Avaldsnes IL, Hwacheon KSPO, PSG, Corinthians",None,Brazil
Orlando Pride,9,Forward,"Nov 17, 1996","Uniao, Brazil",Adriana ,,"Tiradentes, Rio Preto, Corinthians",None,Brazil
Orlando Pride,10,Midfield,"Feb 19, 1986","Dois Riachos, Brazil",Marta ,,"Umea IK, Santos, FC Gold Pride, Western New York, Tyreso, Rosengard",None,Brazil
Orlando Pride,15,Midfield,"Jan 26, 2000","Jersey City, NJ",Angelina ,,"Santos, Palmeiras, Reign FC",None,Brazil
Portland Thorns,16,Forward,"Aug 20, 1994","Highlands Ranch, CO",Janine Beckie,,"Houston Dash, Sky Blue, Manchester City",Texas Tech,Canada
Portland Thorns,17,Midfield,"Dec 31, 1998","Sleepy Hollow, NY",Sam Coffey,,None,Penn State and Boston College,USA
Portland Thorns,24,Forward,"Sept 8, 2001","Mission Viejo, CA",Izzy D'aquila,,None,Santa Clara,
Portland Thorns,21,Midfield,"Mar 3, 1998","London, Ontario, Canada",Jessie Fleming,,Chelsea,UCLA,Canada
Portland Thorns,18,Goalkeeper,"May 10, 1998","Franklin, MA",Shelby Hogan,,None,Providence,
Portland Thorns,20,Defense,"Aug 9, 1994","Elk Grove, IL",Kelli Hubly,,None,Depaul and Kentucky,
Portland Thorns,25,Defense,"Aug 2, 1988","Pittsburgh, PA",Meghan Klingenberg,,"Boston Breakers, Tyreso, Houston Dash",North Carolina,USA
Portland Thorns,13,Midfield,"Sept 17, 2005","Santa Clarita, CA",Olivia Moultrie,,None,None,USA
Portland Thorns,39,Defense,"Jun 30, 1998","Herndon, VA",Meaghan Nally,,Turbine Potsdam,Georgetown,
Portland Thorns,5,Defense,"Oct 30, 2002","Kolding, Denmark",Isabella Obaze,,"KoldingQ, HB Koge, FC Rosengard",None,Denmark
Portland Thorns,11,Defense,"Jan 18, 2001","Birmingham, AL",Nicole Payne,,PSG,Southern California,Nigeria
Portland Thorns,2,Defense,"Feb 16, 2001","Garland, TX",Reyna Reyes,,None,Alabama,Mexico
Portland Thorns,4,Defense,"Jun 6, 1985","St. Louis, MO",Becky Sauerbrunn,,"magicJack, FC Kansas City, Utah Royals",Virginia,USA
Portland Thorns,27,Midfield/Forward,"Apr 22, 1997","Sellersville, PA",Marissa Sheva,,"Deportivo Alaves, Washington Spirit",Penn State,Ireland
Portland Thorns,12,Forward,"Jun 12, 1983","Burnaby, British Columbia, Canada",Christine Sinclair,,"Vancouver Whitecaps, FC Gold Pride, Western New York",Portland,Canada
Portland Thorns,9,Forward,"Aug 10, 2000","Windor, CO",Sophia Smith,,None,Stanford,USA
